/v1/alive [GET, 200, 127.0.0.1, 2022-10-17 13:49:33.562584, 0.001s, 28B]
/favicon.ico [GET, 404, 127.0.0.1, 2022-10-17 13:49:33.593611, 0.0s, 22B]
/v1/alive [GET, 200, 127.0.0.1, 2022-10-18 17:46:55.051981, 0.004s, 23B]
/favicon.ico [GET, 404, 127.0.0.1, 2022-10-18 17:46:55.108417, 0.0s, 22B]
/v1/alive [GET, 200, 127.0.0.1, 2022-10-18 17:47:14.492063, 0.004s, 25B]
/v1/alive [GET, 200, 127.0.0.1, 2022-10-18 17:47:15.158438, 0.002s, 25B]
/v1/alive [GET, 200, 127.0.0.1, 2022-10-21 12:58:21.221113, 0.004s, 55B]
/favicon.ico [GET, 404, 127.0.0.1, 2022-10-21 12:58:21.329334, 0.001s, 22B]
/v1/alive [GET, 200, 127.0.0.1, 2022-10-21 13:00:48.647531, 0.002s, 55B]
/v1/alive [GET, 200, 127.0.0.1, 2022-10-21 13:00:50.842176, 0.001s, 55B]
/v1/alive [GET, 200, 127.0.0.1, 2022-10-21 13:01:00.419939, 0.0338s, 155B]
